Name,Address,Map,Description,Parking,Types of Volunteers,Group Size,Type of Work,Season,Other,major hotspot?
Lyon Park,"1200 W Lakewood Ave, Durham, NC 27707",,"Litter along the edges of the park (not a ton in the main park area, but some)
The major sources of trash were along the creek on the west edge of the park","There is a small parking lot off of W Lakewood Ave. Only enough for 5 cars. Would recommend parking on the street, or by the Baseball field off of Haley St. ",High School aged students or older ,10-15,"Litter along the edges of the park (not a ton in the main park area, but some)
The major sources of trash were along the creek on the west edge of the park and by fence lines
Be ready to fight off thorny branches and duck into tight spaces to get to where the action is. Bring bug spray for the spring/summer time!
Suggestion: there is a wall by the Baseball field that used to have a mural on it, but has since faded away; we should make a new one if we have permission.  ",,"Wear pants, be ready to fight off thorny branches and duck in tight spaces to get to where the action is; Bring bug spray for the spring/summer time!
",
Whipporwill Park,"1632 Rowemont Dr, Durham, NC 27705",,"Long paved trail in woods gets moderate amount of trash accumulation
 Large space at park, but trails are best for small groups
Suitable for children
",,,,,,,
East End_1200 N Alston Ave,,,,,,,,,,
Plogging Routes,,,,,,,,,"4 routes: 1.5 mile, 1 mile, 2 mile, and 3 mile routes",
Piney Wood Park,"400 E Woodcroft Pkwy, Durham, NC 27713",,"Both sides of the park right at the entrance are usually littered along the wood lines. General areas (sides of the roads, inside the park) need cleaning as well
",,,,,,,
Ellerbe Creek Cleanup,,,,,,,,,,
Hillside_1301 S. Roxboro St,,,,,,,,,,
Indian Trail_1701 Albany St,,,,,,,,,,
Long Meadow Park,"Long Meadow Park- 917 Liberty St Durham, NC ",,,"
There is a medium sized parking lot that can fit a good amount of cars. If you need extra parking, suggest contacting the Leathers/Meacham Head Start business to see if you could use their parking lot which is across the street. ","12 year olds and older are recommended for this area
Litter can be found all around the park; mainly in the creek area as well as by the gazebo (cigarette butts)
Homeless citizens have been seen hanging out at the gazebo at times, so would recommend working with a larger group ",15-40+," Main focus here will be litter prevention. There can be invasive species removal, but it is not essential. ",,"Litter can be found all around the park; mainly in the creek area as well as by the gazebo (cigarette butts); Homeless citizens have been seen hanging out at the gazebo at times, so would recommend working with a larger group",
Rock Quarry_701 Stadium Dr,,,,,,,,,,
Rockwood_2310 Whitley Dr,,,,,,,,,,
Forest Hills Park,"Forest Hills Park- 1639 University Dr, Durham, NC 27707 ",,,"There is a parking lot, outside Forest Hills Center, with good amount of parking spots. Though would suggest carpool for large groups. ",Would recommend middle age students to adults;,10-50,This area is mainly litter cleanup. Large amount of trash can be found along the creek which runs through the park. Some trash can also be found within the park and at the playground area. ,,Recommend wearing waterproof boots if you are picking up litter after rain. Main open space in park floods a bit. Boots will also come in handy when cleaning up the creek. Would suggest cleaning up in the fall/spring. ,
Ramseur St,"Ramseur St- Durham, NC
",,,"Not much parking can be found around the area that needs the most work. Would recommend having a drop off system, or parking on a side street and walking to the location. ",Adults are recommended for this project. Not safe for younger children. Homeless individuals have been found to camp under freeway and near traintracks.,10-35,"This is a major littered area. Trash is from many different sources.
",,,
